1	1
1	11
1	13
1	35
1	38
1	39
1	41
1	46
1	47
1	48
1	49
1	56
1	59
1	68
1	70
1	81
1	86
1	87
1	89
1	94
1	99
1	104
1	109
1	116
1	125
1	126
1	135
1	142
1	143
1	146
1	149
1	152
1	155
1	157
1	162
1	163
1	168
1	179
1	180
1	6
1	7
1	14
1	18
1	26
1	32
1	43
1	61
1	63
1	66
1	78
1	85
1	88
1	90
1	93
1	119
1	121
1	127
1	138
1	150
1	156
1	177
1	95
1	98
1	129
1	130
1	75
1	170
4	4
4	118
4	151
8	8
8	72
8	77
8	131
8	166
8	2
8	23
8	73
15	15
15	145
15	165
17	17
27	27
27	29
27	19
27	37
27	134
27	167
27	140
30	30
30	9
30	22
30	54
30	57
30	136
30	137
30	158
30	172
30	42
30	55
30	25
30	153
30	171
30	91
30	97
30	120
30	108
30	21
40	40
40	82
51	51
51	105
52	52
62	62
65	65
67	67
71	71
71	115
71	107
74	74
79	79
80	80
80	44
80	101
80	159
80	36
80	58
80	60
80	139
96	96
96	5
96	31
96	113
96	124
96	28
96	128
96	83
110	110
110	102
112	112
112	12
112	53
112	64
112	111
112	24
112	147
112	123
114	114
117	117
132	132
132	10
132	122
132	100
141	141
144	144
144	92
148	148
148	106
154	154
154	3
154	69
154	16
154	175
154	20
154	33
161	161
164	164
169	169
173	173
173	34
173	76
174	174
174	50
174	45
174	103
174	84
176	176
176	133
176	160
178	178
